Var1,Var2,Var3,Var4,Var5,Var6,Var7,zeroColumn,zeroColumnTwo
10,Jun,2021,"03:14:57.000,10",Jun,2021,"03:18:57.000,Ground_Station,data_downlink",0,0
10,Jun,2021,"03:18:57.000,10",Jun,2021,"10:00:57.000,NA,cruise",0,0
10,Jun,2021,"10:00:57.000,10",Jun,2021,"10:01:00.000,Finsteraarhorn,imaging",89.0847261117152,60.8304946919389
10,Jun,2021,"10:01:00.000,10",Jun,2021,"10:01:06.000,NA,cruise",0,0
10,Jun,2021,"10:01:06.000,10",Jun,2021,"10:01:09.000,Dufourspitze,imaging",89.1334723489914,61.1526133577411
10,Jun,2021,"10:01:09.000,10",Jun,2021,"17:54:15.000,NA,cruise",0,0
10,Jun,2021,"17:54:15.000,10",Jun,2021,"17:54:18.000,Teton,imaging",89.5369008302182,62.3306884140059
10,Jun,2021,"17:54:18.000,10",Jun,2021,"20:40:06.000,NA,cruise",0,0
10,Jun,2021,"20:40:06.000,10",Jun,2021,"20:40:09.000,Grossglockner,imaging",89.2219221226165,0
10,Jun,2021,"20:40:09.000,11",Jun,2021,"10:09:00.000,NA,cruise",0,0
11,Jun,2021,"10:09:00.000,11",Jun,2021,"10:09:03.000,Tunupa,imaging",89.2352439675654,0
11,Jun,2021,"10:09:03.000,11",Jun,2021,"15:58:06.000,NA,cruise",0,0
11,Jun,2021,"15:58:06.000,11",Jun,2021,"16:02:03.000,Ground_Station,data_downlink",0,0
11,Jun,2021,"16:02:03.000,11",Jun,2021,"18:42:06.000,NA,cruise",0,0
11,Jun,2021,"18:42:06.000,11",Jun,2021,"18:42:09.000,Mount_Elbrus,imaging",89.5997890780634,0
11,Jun,2021,"18:42:09.000,11",Jun,2021,"18:42:36.000,NA,cruise",0,0
11,Jun,2021,"18:42:36.000,11",Jun,2021,"18:42:39.000,Mount_Kazbek,imaging",89.6858946875777,0
11,Jun,2021,"18:42:39.000,11",Jun,2021,"20:05:00.000,NA,cruise",0,0
11,Jun,2021,"20:05:00.000,11",Jun,2021,"20:05:03.000,Mount_Karisimbi,imaging",89.749224762944,0
11,Jun,2021,"20:05:03.000,12",Jun,2021,"18:42:54.000,NA,cruise",0,0
12,Jun,2021,"18:42:54.000,12",Jun,2021,"18:42:57.000,Mount_Baker,imaging",89.4536047550951,59.49091947871
12,Jun,2021,"18:42:57.000,13",Jun,2021,"03:43:06.000,NA,cruise",0,0
13,Jun,2021,"03:43:06.000,13",Jun,2021,"03:45:42.000,Ground_Station,data_downlink",0,0
13,Jun,2021,"03:45:42.000,13",Jun,2021,"07:22:54.000,NA,cruise",0,0
13,Jun,2021,"07:22:54.000,13",Jun,2021,"07:22:57.000,Roman-Kosh,imaging",88.9162406835491,65.8709901387439
13,Jun,2021,"07:22:57.000,13",Jun,2021,"21:07:12.000,NA,cruise",0,0
13,Jun,2021,"21:07:12.000,13",Jun,2021,"21:07:15.000,Barre_des_Ecrins,imaging",89.4974027756137,0
13,Jun,2021,"21:07:15.000,14",Jun,2021,"16:26:18.000,NA,cruise",0,0
14,Jun,2021,"16:26:18.000,14",Jun,2021,"16:28:24.000,Ground_Station,data_downlink",0,0
14,Jun,2021,"16:28:24.000,15",Jun,2021,"07:08:21.000,NA,cruise",0,0
15,Jun,2021,"07:08:21.000,15",Jun,2021,"07:08:24.000,Alto_de_Nique,imaging",88.288398272455,0
15,Jun,2021,"07:08:24.000,15",Jun,2021,"11:50:36.000,NA,cruise",0,0
15,Jun,2021,"11:50:36.000,15",Jun,2021,"11:50:39.000,Monte_Burney,imaging",89.6784197989024,0
15,Jun,2021,"11:50:39.000,15",Jun,2021,"17:40:21.000,NA,cruise",0,0
15,Jun,2021,"17:40:21.000,15",Jun,2021,"17:40:24.000,Mount_Graham,imaging",89.4314795897762,66.1682221631849
15,Jun,2021,"17:40:24.000,16",Jun,2021,"00:35:57.000,NA,cruise",0,0
16,Jun,2021,"00:35:57.000,16",Jun,2021,"00:36:00.000,Cabaray,imaging",89.2312004302912,0
16,Jun,2021,"00:36:00.000,16",Jun,2021,"02:37:57.000,NA,cruise",0,0
16,Jun,2021,"02:37:57.000,16",Jun,2021,"02:38:42.000,Ground_Station,data_downlink",0,0
16,Jun,2021,"02:38:42.000,16",Jun,2021,"09:24:09.000,NA,cruise",0,0
16,Jun,2021,"09:24:09.000,16",Jun,2021,"09:24:12.000,Mount_Etna,imaging",88.7995227023319,64.8536914736345
